任务ID,名称,工序,批次,首批序,资产ID,场次,前置任务,验收条件,英文提示词,状态,拟定文件名
MB-C11-FACE,张济｜正脸身份,MJ,C,,C11,GJ-EP02-SC01,,58岁细长面、灰鬓，与顾伯分开；不是发光仙医,"Single fictional Chinese man, age 58, a long face, clear nose bridge, slim eyebrows, attentive eyes with age lines, gray temples, neatly trimmed moustache, straight back. graying hair in a plain tied knot. blue-gray long cotton-linen robe with moon-white inner collar, clean practical cuffs. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C11-FACE__v01__candidate.png
MB-C11-FULL,张济｜全身干衣,MJ,C,,C11,GJ-EP02-SC01,MB-C11-FACE,58岁细长面、灰鬓，与顾伯分开；不是发光仙医；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 58, a long face, clear nose bridge, slim eyebrows, attentive eyes with age lines, gray temples, neatly trimmed moustache, straight back. graying hair in a plain tied knot. blue-gray long cotton-linen robe with moon-white inner collar, clean practical cuffs. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C11-FULL__v01__candidate.png
MB-C12-FACE,王寿｜正脸身份,MJ,B,,C12,GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,真假不靠丑脸或破制服判断；与赵平同属近色但非复制衣纹,"Single fictional Chinese man, age 31, an oval face, short defined brows, full shaped lips, level direct gaze, medium build and ordinary upright posture. neatly bound black hair. faded ink-blue official-style short robe with gray-black edging, dense cotton, old creases. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C12-FACE__v01__candidate.png
MB-C12-FULL,王寿｜全身干衣,MJ,B,,C12,GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C12-FACE,真假不靠丑脸或破制服判断；与赵平同属近色但非复制衣纹；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 31, an oval face, short defined brows, full shaped lips, level direct gaze, medium build and ordinary upright posture. neatly bound black hair. faded ink-blue official-style short robe with gray-black edging, dense cotton, old creases. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C12-FULL__v01__candidate.png
MB-C12-PROFILE,王寿｜侧脸,MJ,B,,C12,GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C12-FACE,真假不靠丑脸或破制服判断；与赵平同属近色但非复制衣纹；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 31, an oval face, short defined brows, full shaped lips, level direct gaze, medium build and ordinary upright posture. neatly bound black hair. faded ink-blue official-style short robe with gray-black edging, dense cotton, old creases. clean left profile head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C12-PROFILE__v01__candidate.png
MB-C12-THREEQUARTER,王寿｜四分之三脸,MJ,B,,C12,GJ-EP03-SC01;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C12-FACE,真假不靠丑脸或破制服判断；与赵平同属近色但非复制衣纹；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 31, an oval face, short defined brows, full shaped lips, level direct gaze, medium build and ordinary upright posture. neatly bound black hair. faded ink-blue official-style short robe with gray-black edging, dense cotton, old creases. three-quarter head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C12-THREEQUARTER__v01__candidate.png
MB-C13-FACE,马六｜正脸身份,MJ,C,,C13,GJ-EP03-SC02;GJ-EP03-SC04,,27岁轻巧匀长；西巷正侧脸须同人，不蒙面,"Single fictional Chinese man, age 27, a long diamond-shaped face, straight brow tails, rounded eyes, defined lips, light neck and shoulders, lean balanced frame. plain tied black hair. light-gray short travel clothes with gray-green inner collar, neatly pressed side seams. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C13-FACE__v01__candidate.png
MB-C13-FULL,马六｜全身干衣,MJ,C,,C13,GJ-EP03-SC02;GJ-EP03-SC04,MB-C13-FACE,27岁轻巧匀长；西巷正侧脸须同人，不蒙面；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 27, a long diamond-shaped face, straight brow tails, rounded eyes, defined lips, light neck and shoulders, lean balanced frame. plain tied black hair. light-gray short travel clothes with gray-green inner collar, neatly pressed side seams. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C13-FULL__v01__candidate.png
MB-C14-FACE,赵平｜正脸身份,MJ,B,,C14,GJ-EP02-SC03;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,40岁短髭深靛服；无万能令牌，和孟达年龄色阶分明,"Single fictional Chinese man, age 40, a nearly square face, broad eyebrows, deep-set attentive eyes, short neat jaw beard, sturdy upright shoulders. black hair neatly bound for duty. deep indigo duty robe with black edges, low-sheen cotton twill, plain belt. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C14-FACE__v01__candidate.png
MB-C14-FULL,赵平｜全身干衣,MJ,B,,C14,GJ-EP02-SC03;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C14-FACE,40岁短髭深靛服；无万能令牌，和孟达年龄色阶分明；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 40, a nearly square face, broad eyebrows, deep-set attentive eyes, short neat jaw beard, sturdy upright shoulders. black hair neatly bound for duty. deep indigo duty robe with black edges, low-sheen cotton twill, plain belt. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C14-FULL__v01__candidate.png
MB-C14-PROFILE,赵平｜侧脸,MJ,B,,C14,GJ-EP02-SC03;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C14-FACE,40岁短髭深靛服；无万能令牌，和孟达年龄色阶分明；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 40, a nearly square face, broad eyebrows, deep-set attentive eyes, short neat jaw beard, sturdy upright shoulders. black hair neatly bound for duty. deep indigo duty robe with black edges, low-sheen cotton twill, plain belt. clean left profile head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C14-PROFILE__v01__candidate.png
MB-C14-THREEQUARTER,赵平｜四分之三脸,MJ,B,,C14,GJ-EP02-SC03;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C14-FACE,40岁短髭深靛服；无万能令牌，和孟达年龄色阶分明；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 40, a nearly square face, broad eyebrows, deep-set attentive eyes, short neat jaw beard, sturdy upright shoulders. black hair neatly bound for duty. deep indigo duty robe with black edges, low-sheen cotton twill, plain belt. three-quarter head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C14-THREEQUARTER__v01__candidate.png
MB-C15-FACE,孟达｜正脸身份,MJ,C,,C15,GJ-EP02-SC03;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,22岁成人、无孟宽短须壮实体量；不是少年儿童,"Single fictional Chinese man, age 22, a long oval youthful adult face, gently lifted brows, broad eyes, light clean jaw, straight shoulders. black hair neatly bound for duty. indigo-teal duty robe, lighter than the senior officer's, pale-gray inner collar, narrow sleeves. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C15-FACE__v01__candidate.png
MB-C15-FULL,孟达｜全身干衣,MJ,C,,C15,GJ-EP02-SC03;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C15-FACE,22岁成人、无孟宽短须壮实体量；不是少年儿童；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 22, a long oval youthful adult face, gently lifted brows, broad eyes, light clean jaw, straight shoulders. black hair neatly bound for duty. indigo-teal duty robe, lighter than the senior officer's, pale-gray inner collar, narrow sleeves. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C15-FULL__v01__candidate.png
MB-C17-FACE,石照川｜正脸身份,MJ,B,,C17,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,,宽肩方脸靛布，不夸张巨人化；搬物动作稳定,"Single fictional Chinese man, age 38, a square face, broad flat brow ridge, open eyes, weighty jaw, broad chest and shoulders, proportionate sturdy build. plain tightly bound black hair. indigo cotton outer jacket over dark-gray fine wool, narrow cuffs and plain belt. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C17-FACE__v01__candidate.png
MB-C17-FULL,石照川｜全身干衣,MJ,B,,C17,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC04;GJ-EP03-SC05,MB-C17-FACE,宽肩方脸靛布，不夸张巨人化；搬物动作稳定；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 38, a square face, broad flat brow ridge, open eyes, weighty jaw, broad chest and shoulders, proportionate sturdy build. plain tightly bound black hair. indigo cotton outer jacket over dark-gray fine wool, narrow cuffs and plain belt. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C17-FULL__v01__candidate.png
MB-C18-FACE,孟宽｜正脸身份,MJ,C,,C18,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,,粗眉短须赭腰带，与孟达绝不共脸,"Single fictional Chinese man, age 36, a broad rectangular face, thick natural brows, lively eyes, short beard, strong jaw and muscular shoulders. plain bound black hair. smoky-gray travel coat over dark-brown layers, clearly visible ochre cloth belt. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C18-FACE__v01__candidate.png
MB-C18-FULL,孟宽｜全身干衣,MJ,C,,C18,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,MB-C18-FACE,粗眉短须赭腰带，与孟达绝不共脸；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 36, a broad rectangular face, thick natural brows, lively eyes, short beard, strong jaw and muscular shoulders. plain bound black hair. smoky-gray travel coat over dark-brown layers, clearly visible ochre cloth belt. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C18-FULL__v01__candidate.png
MB-C19-FACE,罗百泉｜正脸身份,MJ,C,,C19,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,,45岁灰短须，前三集正常步态不提前跛行,"Single fictional Chinese man, age 45, a long face, open relaxed brows, clear nose, neat short gray beard, lean strong frame, upright balanced stance. black-and-gray hair tied simply. gray-brown travel layers with a lighter inner collar, long clean vertical lines. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C19-FACE__v01__candidate.png
MB-C19-FULL,罗百泉｜全身干衣,MJ,C,,C19,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,MB-C19-FACE,45岁灰短须，前三集正常步态不提前跛行；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 45, a long face, open relaxed brows, clear nose, neat short gray beard, lean strong frame, upright balanced stance. black-and-gray hair tied simply. gray-brown travel layers with a lighter inner collar, long clean vertical lines. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C19-FULL__v01__candidate.png
MB-C20-FACE,崔望野｜正脸身份,MJ,B,,C20,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC04;GJ-EP03-SC05,,瘦长脸短披肩；辨脸不靠遮眼发缕，弓另归随身附件,"Single fictional Chinese man, age 34, a narrow face with flat cheekbone planes, fine firm brows, elongated eyes, tall slim frame and open neck posture. black hair bound away from the eyes. dark-gray short fine-wool shoulder cape over gray-blue close-woven cotton. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C20-FACE__v01__candidate.png
MB-C20-FULL,崔望野｜全身干衣,MJ,B,,C20,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC04;GJ-EP03-SC05,MB-C20-FACE,瘦长脸短披肩；辨脸不靠遮眼发缕，弓另归随身附件；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 34, a narrow face with flat cheekbone planes, fine firm brows, elongated eyes, tall slim frame and open neck posture. black hair bound away from the eyes. dark-gray short fine-wool shoulder cape over gray-blue close-woven cotton. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C20-FULL__v01__candidate.png
MB-C21-FACE,伍成｜正脸身份,MJ,C,,C21,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC05,,29岁轻瘦不幼态，浅褐短褂；跑腿不是杂耍,"Single fictional Chinese man, age 29, a narrow diamond face with modest cheek fullness, open brow tails, bright eyes, light lean adult frame with strong arms. plain bound black hair. light-brown short cotton jacket with warm-gray inner collar, thin wool underlayer. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C21-FACE__v01__candidate.png
MB-C21-FULL,伍成｜全身干衣,MJ,C,,C21,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC02;GJ-EP03-SC03;GJ-EP03-SC05,MB-C21-FACE,29岁轻瘦不幼态，浅褐短褂；跑腿不是杂耍；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 29, a narrow diamond face with modest cheek fullness, open brow tails, bright eyes, light lean adult frame with strong arms. plain bound black hair. light-brown short cotton jacket with warm-gray inner collar, thin wool underlayer. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C21-FULL__v01__candidate.png
MB-C22-FACE,段平生｜正脸身份,MJ,C,,C22,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,,宽厚、米白领巾；厨房与战阵同一人，不能减出九卒,"Single fictional Chinese man, age 40, a broad rounded jaw, open thick eyebrows, gentle eyes, thick shoulders and naturally solid waist, warm sun-touched skin. plain bound black hair. warm-gray cotton travel coat, off-white woven neck cloth, fine-wool inner layer. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C22-FACE__v01__candidate.png
MB-C22-FULL,段平生｜全身干衣,MJ,C,,C22,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,MB-C22-FACE,宽厚、米白领巾；厨房与战阵同一人，不能减出九卒；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 40, a broad rounded jaw, open thick eyebrows, gentle eyes, thick shoulders and naturally solid waist, warm sun-touched skin. plain bound black hair. warm-gray cotton travel coat, off-white woven neck cloth, fine-wool inner layer. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C22-FULL__v01__candidate.png
MB-C23-FACE,许照邻｜正脸身份,MJ,C,,C23,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,,窄脸青衣，与自己的方口包绑定；不是主角私人小行囊,"Single fictional Chinese man, age 32, a narrow face, defined brows, concentrated eyes, clear nose and jaw, evenly proportioned lean strong frame. neatly bound black hair. blue cotton travel clothes with smoky-gray inner layers, carefully finished bindings. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C23-FACE__v01__candidate.png
MB-C23-FULL,许照邻｜全身干衣,MJ,C,,C23,GJ-EP01-SC01;GJ-EP01-SC02;GJ-EP01-SC03;GJ-EP02-SC04;GJ-EP03-SC05,MB-C23-FACE,窄脸青衣，与自己的方口包绑定；不是主角私人小行囊；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 32, a narrow face, defined brows, concentrated eyes, clear nose and jaw, evenly proportioned lean strong frame. neatly bound black hair. blue cotton travel clothes with smoky-gray inner layers, carefully finished bindings. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C23-FULL__v01__candidate.png
MB-C57-FACE,灰领刺客｜正脸身份,MJ,B,,C57,GJ-EP01-SC01,,原创成年身份工作提案；与另四名刺客脸形和体量不同；真名未定、不带门派徽记,"Single fictional Chinese man, age 32, tall slender build, long oval face, straight fine brows, narrow jaw. low tied black hair. deep ink-green short travel coat with a pale gray inner collar. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C57-FACE__v01__candidate.png
MB-C57-FULL,灰领刺客｜全身干衣,MJ,B,,C57,GJ-EP01-SC01,MB-C57-FACE,原创成年身份工作提案；与另四名刺客脸形和体量不同；真名未定、不带门派徽记；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 32, tall slender build, long oval face, straight fine brows, narrow jaw. low tied black hair. deep ink-green short travel coat with a pale gray inner collar. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C57-FULL__v01__candidate.png
MB-C58-FACE,褐袖刺客｜正脸身份,MJ,B,,C58,GJ-EP01-SC01,,原创成年身份工作提案；与另四名刺客脸形和体量不同；真名未定、不带门派徽记,"Single fictional Chinese man, age 38, broad shoulders, thick upper torso, broad long face, low straight brows, broad straight nose. compact tied black hair. charcoal travel robe with brown outer sleeves and dark gray cross-collar. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C58-FACE__v01__candidate.png
MB-C58-FULL,褐袖刺客｜全身干衣,MJ,B,,C58,GJ-EP01-SC01,MB-C58-FACE,原创成年身份工作提案；与另四名刺客脸形和体量不同；真名未定、不带门派徽记；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 38, broad shoulders, thick upper torso, broad long face, low straight brows, broad straight nose. compact tied black hair. charcoal travel robe with brown outer sleeves and dark gray cross-collar. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C58-FULL__v01__candidate.png
MB-C59-FACE,窄额带刺客｜正脸身份,MJ,B,,C59,GJ-EP01-SC01,,原创成年身份工作提案；与另四名刺客脸形和体量不同；真名未定、不带门派徽记,"Single fictional Chinese man, age 29, short compact lean build, diamond-shaped face, defined cheekbones, short jaw, narrow eyes. low tied black hair with a narrow dark gray forehead band. gray-blue fitted-sleeve short travel robe. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C59-FACE__v01__candidate.png
