编号,名称,篇章,粒度,状态,文档路径,摘要
BH-U08,父亲做过的事,白河,unit,剧情单元大纲,剧集/03-白河/README.md,韩骁对照撤守文移与幸存者所述，承认错误执行，也承认顾父最初参与封界；后来的反对不能取消旧责。陆依高留下的交接，由替手补核苏芜医案、药材与守役经手，材料按驿程抵北。温、贺当年求外医的文移与北地实际收验日相差，表明交涉没有按所报落实；谁拖延、谁瞒报仍分别追查。高已赴外县。宁在弱扰动中短暂护住一人，今顾练习时偶感变化，复测却有错；两人的进步都不能逆转死亡，岳随后按秋检计划南返。
BH-U09,把自己的那页也交出来,白河,unit,剧情单元大纲,剧集/03-白河/README.md,"沈抵北，核实舅父确有虚报商损，拘押死亡的材料也已取得一部分，具体经手仍在补核。她按时交出已核账页，同时要求拘押经过、商号后续责任与自己当年只有十岁、非经手人的事实一并留案。陈渡误以为最难的已经过去，急着说下一步终于省心；沈指出自己明日仍要见伙计、面对客商，也还在想那个曾照顾她的舅父。两人的争执在于他没有看见正确决定之后的难过和成本，不在是否应交证、是否替她藏证。

受过舅父提携的章秋屏仍要求先发工钱，再谈追加查访。沈自己决定公布完整账，依法处理商号与本人应承担的财产责任；她十岁时未参与旧事，不能因亲属身份被补作当年经手。章提出实际出资与相应经营权，部分客商暂缓合作，经营仍须继续。那晚陈渡买好两份饭等她，她处理完当日事务才来，先靠在他肩上坐一会儿。争执没有换来一张无责证明，却让两人更清楚对方需要怎样的陪伴，受害者仍可以不原谅。

京畿另一场小型问剑会上，叶先报伤、通过复核再比，凭自己的剑赢一位认真应战的对手；温未在场替她撑名，旧输局和失约授课仍须弥补。她给小满的信只谈染样、工钱和这次真正的胜负。沈与章完成这一段的经手交接，安排八月中旬先随返程商队南下；章继续北路交接，双方保留实际行程。"
BH-U10,未被抄下来的失败,白河,unit,剧情单元大纲,剧集/03-白河/README.md,周顺指向的运料去向与另一地照护记录互证，众人找到原顾没见过的失败、退出、误诊与别法恢复个案：少数异来者的言语与经历确有其事，却从未构成稳定召来法。温、贺曾提供的照料重练、退避和交接也确实存在；原顾把暂时不能亲查误作自己无用，隐瞒最后决定；这一层只由陈渡结合私信在心中判断，观众不能把它当成众人已经共同确认的结论，也不能把主动断籍全部说成无路可走。关于两端既有对应、原顾一侧失稳与现代自然死亡的关联，只在陈渡独自对照自身记忆时作有限推断，并以作者事实另行核对；同伴只接触待核旧例与本地失稳材料，不获他的来处确证。八月十五北地分饼，陈渡独自想起母亲，没有向同伴讲出现代身世，也未找到可用返路。谢只因伤后异常与筛案反应怀疑顾砚可能属于特殊异来个案，未见关键遗信，也无成功承接确证；他仍因失稳经历与资料可能影响计划而申请接管顾府资料。陆要求封存清单与合法范围；分散原件不能由一纸申请收空，温也没有祖谱能直接回答全部谜团。
BH-U11,先生签过的名字,白河,unit,剧情单元大纲,剧集/03-白河/README.md,"三地调相日期、维护工役、渡时与受灾变化互证，河湾对岸的水位刻度与撤岸痕迹又提供一条独立对照，证明桃汀、回雁、石门被强留在同一段旧境后，风险只在确实相连的地点彼此传递；更早灾例同时证明自然变化并非谢创造。工程主事收到现场人数和三地联动数据后，仍签下“先续一段、缩小上报范围”的工期批注；财赋／转运主事明知撤运容量不足，仍先付一班工料、扣住一班可撤人的船；承祐帝收到差额后只作附条件推进、没有暂停旧急令。那份附卷由他亲自圈出未撤口径、期限和旧急令后果：他未必懂全套重境机理，却已经知道到足以作出政治选择。顾家复核令的发出与截回也各留经手和批准痕迹。谢的筛案与跨部门推动责任不再依赖猜测；他仍能指出旧枢确实保住过人口，其他人也各有并非虚假的工程与供给难题。

陈渡将南返，殷还须留下整理旧庇护路线。他盼她同行，听见拒绝仍会失落；她也承认自己希望他留下、想争取同行，却不愿替他决定。两人谈到常回的小院与沿路停留，仍有不同愿望，却没有把尚未找出的办法说成感情已经结束。临别她先抱住他，陈渡将手收紧，直说会想她；殷让他往信里写自己的日子，自己也答应认真回。她留下做事，他南返，实际分途和继续相爱同时发生，下一次相见要靠真正的行程兑现。"
BH-U12,门外的人是来护你的,白河,unit,剧情单元大纲,剧集/03-白河/README.md,谢预先安排的监护者以旧文移要求接走陈渡、收走测记，随行执令修士正式出现，为首者有守一实力。他只看见近场相合和零散旧注，误把“强留三点或可窥天人”当作值得替上命多争一刻的理由；这不是被证实的法门，也没有给他任何新能力。五卒没有先被击散或交出同伴：五人完整归旌，正面挡回强取之手，守住陈渡和现场资料。对方拿不走人，转而要求官署执行所谓监护；军阵能赢这一场攻击，仍不能代替核验文移。温从邻近授业关镇接讯赴场，促成数宗公开见证，陆的有效文移与地方经办厘清权限。谢让出这一轮控制，仍主张封边保粮。温预支来年讲学收入、留北安置。陈渡及五卒八月下旬启程，九月上旬仍在路上，南返与末段护送均在六月已说好的九月底之前；寄回的家书终于能写明回程。该批执令修士留作终局可识别的对手，不新增更高幕后。
ZM-U01,把人带出来以后,众名,unit,剧情单元大纲,剧集/04-众名/README.md,北路材料分别送存，陈渡、宁与五卒沿正常驿程南返，殷留北整理庇护路线。沈按八月中旬的返程安排先行，九月中旬回到长京，重新接起货栈日常，仍须与留北交接的章循程通信。老卒依六月的相约继续护送，轮休、探访和递送在邻近节点安排，不把四人从主线中凭空遣散。程在长京指出空地不等于床位，更不等于生计；映禾只答应自己教得过来的孩子。陈渡收到缺水、药食和走失联系的清单，只能重排到达。顾伯收到平安信先修漏屋，给仍需落脚的老卒留好外院，也听见有人已找到铺面、有人回京畿家中；程守成继续自己的赔付。共同任务不取消每个人的生活。
ZM-U02,可以说出口的以后,众名,unit,剧情单元大纲,剧集/04-众名/README.md,"陈渡与宁在长京吃一顿秋夜的家常饭。他谈起自己记忆里的空缺未必都能补回，仍想把今后的日子安排好，也如实说了与沈的心动、与殷的相爱仍在继续。宁听见会有迟疑，却没有把自己的欢喜说成假事；她告诉他，自己想来的就是这一晚，往后的疑问也会亲口问。两人明确当下不作排他承诺：任何一方可提出边界、暂停或拒绝，不因如实说出已有感情和相处边界受到惩罚。他伸手，她回握，两人认真亲吻。他只说有些想念不知道如何安放，没有借此编造一段属于原顾的亲历；宁安静听着，不擅自替他的旧事补答案。现代母亲与归途只留在陈渡内心，不对宁解释。饭后他们去看陈渡想租的小院，修缮远超预算，只先落实能住与练功的部分；宁在檐下选了个听雨的位置，说下次来还要坐这里。小院是陈渡在此世尝试安顿的住处，不在此场替全部感情确定最终归属。

几日后，陈渡主动把一个晚上留给沈，提早在货栈外等她闭门。她换下白日的外衣，问他这回是否还要说借车借钱；他答只是想见她，沈终于笑着拉他往街上走。两人说起北地那次争吵，她承认自己想要的不止是一个好合作者，他也明确说喜欢她，想与她有案子之外的日子。巷口分别时，她先拉住他的手，他回身靠近，她迎上他的亲吻。商号依旧由沈与实际经手者经营，这次表明爱情不换来对他无限供给的承诺。"
ZM-U03,第一次试验并不成功,众名,unit,剧情单元大纲,剧集/04-众名/README.md,"少数知情自愿住户带着可核联系迁往承接点，五卒护送在场。陈渡刚入照微，能稳定察觉近处扰动，仍不能断言全路安全。桃汀与石门在旧境中仍处同一河湾，试行时两处接合误被同时加力，故道路脱落；同时能见到河湾对岸正按自身季候拆移低岸工棚。军阵也没有新增一块可承重的地面。老卒依据预留第二路接出人员，测桩与物料仍丢失。宋提供的量尺、扣具先经试用，只负责普通测量与修补。众人承认资料和护送战力都不能替工程承压，也不能替另一侧定时，调整错峰与规模，保留失败。谢要求全停，陈渡不将一轮失败改成所有替代都不可能。

九月底，五人把这一程已答应的交接做完，暂别去长京及京畿谋生、探亲。铺面、石工、近程护送各有人做，偶尔仍约一顿饭；陈渡此后要找人须按真实去处送信，不能一推顾府外院门便默认五人随时齐备。"
ZM-U04,粮不会因为有理就自己来,众名,unit,剧情单元大纲,剧集/04-众名/README.md,沈与章秋屏同合伙人、南越供货者和海东船务经手谈运力，对方要支付保证、返程货与明确损耗归属，关口也须实际许可。章先发工钱，列清可用余银，再带出能接替一段货运的伙计；沈不能只下决心便把代价交给下属。运费分期落实后，可运数仍低于希望，陈渡接受修改。海东只提供自身未纳入中央主调的地方航时资料作比对，不交港政。姚春娘换船底后按自己能承受的班次接短程客，不包办整条水路。
ZM-U05,祖师留下的也能拆,众名,unit,剧情单元大纲,剧集/04-众名/README.md,太微匠师提出拆旧构修地方枢，同门担心祖传遗存，住户问完好的碑能否替代断水路；经验证只拆可用部分，保存经手，承担不能复原的损失。岳以曾见撤离因强留接合失控的旧例，坚持永久废弃三处人为共用的调相锚定，并拒绝在复测前把其余接合放大；她反对的不是旧境本身，也不是宁的感情，而是拿未核风险要求别人再信一次。宁与岳、司天台复测，护身侧数息后及时换手；邵负责另一普通承接点，不随时把任务交还宁。工程主事仍以骤停风险反对错峰，双方都不能只靠身份压过实测。贺、叶秋返城西院，按巡教中显出的体力差异重排课程，再练京畿接应。温仍留北，殷逐户说明路线风险。归藏提供身息剑经验，太微负责旧构，宁抵达天人的路无人代教。
ZM-U06,已经转出的那些人,众名,unit,剧情单元大纲,剧集/04-众名/README.md,闭合线报表称三处已完成转出，程收到的到达数与现场经手却不符：仍待接走的人已从后续撤运需求中被结掉。高成礼在外县核实际接入者、到达日与物资，只为本县经手作证；其他地方各自核验，河湾水位与撤岸讯号只作物理对照。这次集中呈现白河所揭授权正在造成的后果：旧工期继续、撤运未补、人数先结，等待纸面纠正会让最后窗口越来越窄。陆将这些新差额接入已经查明的命令与付款链，不让四方责任重新从头论证。承祐帝先想内部换人平息，面对自己圈过未撤口径、期限与旧急令后果的附卷，只能允许更广复核；复核尚不等于撤令。陈渡据此把下一步压到具体接收缺口与可先行的小批上，衔接程在07拒绝虚报和08回雁的实际成功。谢、工程、钱粮与皇权各自的旧责仍在，亲历和物理异常也不能替代多地实际点收。
ZM-U07,你信我，还是把人点清,众名,unit,剧情单元大纲,剧集/04-众名/README.md,陈渡为抢一班车催程先报接收，程拒绝，说熟悉朋友不能代替知道每个去处。他宁可承担延期，也不把床位写成已经有了；陈渡亲自补齐缺口后，程才签字。北路闻策企图毁掉债约和拘人经手，九川中有人趁乱占失名者货产。殷保护证人、交出她所经手的联络与流程记录，宁可让自己曾误信的流程缺口被核出，也不重新用扣人解决。具体执行者被查，护路工作仍交给愿受核验的其他行会成员，不把整派人物一并抹成恶人。
ZM-U08,先让一处真正接上,众名,unit,剧情单元大纲,剧集/04-众名/README.md,回雁复测和粮床准备已有结果，其他两处仍在核验。陈渡据此推测可以先承接一小批，推动本段先行，不等全线材料齐备；维护者按本地实测核定规模。调整后的回雁段完成这一批迁入，接收地有真实经手继续联系；旧境一侧也以约定时段的停用灯讯确认自身岸工已退到安全线，双方都没有把这次成功当作可无限加人的通道，留下的一段道路仍不得通行。带日期的成功结果沿驿路送回，各地只按已经收到的信息行动。殷带自愿南迁者沿原定节点推进，并把北地交接留给能独立负责的人。工程主事失去“只有自己的工班和算法做成过”的优势，财赋线也看见可支付的替代运输；谢要求以中央统一接管地方资料，各经手依据新获批的复核范围拒绝交出全部原本，保留可持续互查的副录。
ZM-U09,少带一车东西,众名,unit,剧情单元大纲,剧集/04-众名/README.md,"寒潮显示余量低于预期，谢和工程主事对风险的判断都有根据；钱粮线则坚持已付款项和工料若骤停会反噬更多地方。温继续履北地安置约，护石门、回雁撤出，不能回京救徒；贺带叶守京畿南侧接应。五卒已于十月下旬分别收到筹备消息，各自交接京中、京畿的近程工作，预留一至七日路程，于冬月上旬陆续抵桃汀；再聚吃饭时，有人先炫耀自家新挂的招牌。此时五人在桃汀护送修枢人员和撤离组，验看阵甲、轮息休整，临战能正常齐阵；他们不同时出现在北地另一队里。沈、章调整运力，家产、旧构与部分粮车仍须放弃，田兰枝也要选制靴家当。殷随南迁末段抵京畿，姚承担约好的短渡。陈渡向想回取物的人说明限制，接受不满。

完成当日交接后，殷在约好的暖棚外看见陈渡。他提前等在这里，手里是她信中说想吃的热食。她原备了一路玩笑，走近却先抱住他；他回抱，两人停了片刻才说话。她问他信里那折新曲到底好不好听，他约好救援告一段落就陪她去。重逢留下真实的欢喜与亲吻，也没有使她抛下尚未交接的人。各自做完这一班事，他们仍会回到彼此面前。"
ZM-U10,还由谁发令,众名,unit,剧情单元大纲,剧集/04-众名/README.md,谢认为等待完整撤离将错过窗口，推动提前闭合，令桃汀未迁居民成为不许再申报的余压出口；工程主事担心骤停，财赋／转运主事仍按旧交割，承祐帝的旧急令也尚未正式撤回。白河末已经出现的守一执令修士按预发急令来接管修枢组、取走维护者；他把强并误作窥见天人的机会，拒绝承认回雁的成功已证明必须尊重两侧时序。五卒完整结归旌阵，正面挡住包括守一在内的攻击，迫使对方退开。人和现场都没被夺走，才能继续拆危险强续、修枢撤人；不是先被打散再等温或宁救场。独立报告抵达后，兵部、司天台与案所依新授权解除谢以专案担保、门生信任和筛案协调形成的单线指令通道，承祐帝须明确撤回旧急令，工程与钱粮经手则各自重签能维持必要枢位、又不预结活人的交接；五卒不代替官署审判。仍有人拒认新交接，冲突尚待收束。谢交出有限校准补注，众人已有方案才用得上；他的实绩不再替别人决定生死。
ZM-U11,三十息,众名,unit,剧情单元大纲,剧集/04-众名/README.md,主录优先分段退出，桃汀最后一段危险强续被拆开；五卒经过正常轮息休整，五人再齐结归旌，正面击退拒不停止接管的执令修士，守住护送组和已修好的承接处。杜领阵、韩在阵中，顾砚不充第六阵眼；老卒赢下这一战后，仍须承受旧伤反应与阵甲损耗，不集体战死或立即满力追远逃敌。与此同时通道局部脱落，阵挡不住地面失托，末组停在断面；宁在既有接合、本地方法、地方枢和多人接应同时具备时，以入世之道天人初证，身周三丈、最多三十息稳住有限区域，五卒守住人为攻击使这段救援能完成。断面另一侧的河湾维护者也照自己的停用讯号撤开低岸工事；他们没有闯入当世、没有替任何人开门，只让双方都确认这条联系已不能继续透支。陈渡放弃个人物件和修院木料，沿勘过短线以回身挡开近处弹回的木杆，将侧后一人送到五卒守住的接续处；有支撑之后才由韩等接过，不离阵追物。贺、叶接南侧人流，殷与居民领路，沈车队分送，程在安全侧核收；温仍在北，宋留京修工具。宁耗竭不能重开，军阵胜仗也不能让失路回来。
ZM-U12,灯还要有人照看,众名,unit,剧情单元大纲,剧集/04-众名/README.md,"地方确认承接，两侧各自把负荷、期限、退出和停用条件留下记录；工程人员继续值夜，消失的路不回来。宁双手震颤数日，之后按恢复状况参与普通轮值，同级负荷的数月限制仍延续到《渡世》；陈渡照料却不替她选前途，她也会主动留下他吃饭、再听一段没讲完的故事。沈与章按约结账、让商号继续开门，陈渡如约去陪她过一个没有清单要核的闭栈晚；两人仍会为做菜口味拌嘴，沈拉近他的座位。殷交好一段庇护工作后，与陈渡去听完重逢时约的曲，牵手走出戏院，下一次远行仍照实告知。三段爱情都有持续投入和私人相见，不由一次救援胜利替他们决定终身形式。

五卒都活着，分别养伤、修阵甲，完成救援交接后回亲人身边和自己的铺子；补偿与伤后照料确有着落。有人下次聚饭来迟，是铺子还没关，杜这次先给石盛热饭，不再要求全桌等齐。温按北地过冬的承诺继续安置，贺筹备下一程剑塾，叶按真实状态练习，宋在京中接到普通返修与新订单。程与老卒完成受托交接，殷继续改造能退出的庇护网，审理和赔付持续。年初收到一份以顾砚名义作担保、由河湾退回的复验邀约：其中删掉了原报告的不可复制与限定范围。这个新经手行为引出《渡世》，不是谢的新密令。

本单元止于十三年正月，不跳到十四年上元。温归来后的授业、宋第一批稳定回头客、各人经营成熟后的相见与现代亲友尾声，移至第七篇《经世》回收。下面终点表保留为全剧人物结局方向，不能都挤在众名末集发生。"
